N,P,K,temperature,humidity,ph,rainfall,label
51.1,29.45,17.18,28.96,76.3,7.22,1018.91,jute
99.39,56.74,51.69,17.5,56.17,7.03,618.22,pomegranate
133.45,40.06,48.32,24.2,50.52,6.09,860.16,cotton
12.98,10.6,18.87,27.47,64.66,7.3,199.49,mothbeans
110.62,44.73,44.07,18.9,77.5,6.86,930.45,orange
45.72,41.38,38.28,24.41,78.99,6.9,466.62,kidneybeans
64.1,36.88,19.02,30.3,80.07,6.28,1586.8,jute
56.82,46.76,46.36,22.15,67.66,7.14,629.49,wheat
150.84,75.47,67.09,29.82,75.75,6.76,1388.9,sugarcane
131.84,52.75,92.53,30.92,74.41,6.12,1257.81,banana
98.68,47.93,43.39,22.9,61.43,6.34,1435.08,coffee
30.37,23.06,23.28,29.0,68.9,6.11,486.27,pigeonpeas
52.45,30.22,37.52,16.52,61.89,7.03,610.08,wheat
28.08,35.97,29.68,16.84,57.63,6.21,346.47,lentil
34.48,18.97,17.16,27.42,66.55,7.47,466.85,pigeonpeas
37.96,14.66,25.81,33.3,65.54,6.59,446.44,blackgram
41.45,36.13,24.29,20.52,69.37,6.43,418.35,kidneybeans
72.68,48.69,35.04,21.44,75.43,6.95,700.59,maize
71.14,47.4,36.87,19.89,60.28,6.05,1367.47,apple
62.84,33.76,47.45,22.31,67.03,6.37,1267.84,apple
83.83,48.37,42.81,22.88,72.15,6.4,1948.47,coffee
23.42,24.95,30.89,26.35,67.24,6.15,464.39,pigeonpeas
26.39,34.68,26.02,20.76,79.3,6.92,420.91,chickpea
77.93,33.24,31.89,27.59,84.03,6.9,1602.18,jute
18.44,35.08,29.94,29.81,61.05,6.83,365.95,mungbean
52.27,31.6,46.93,21.4,66.61,6.73,415.58,wheat
23.46,22.84,34.09,29.1,79.7,7.43,345.35,pigeonpeas
110.44,56.2,43.16,24.56,64.24,7.2,1142.02,cotton
76.82,40.19,22.06,24.4,71.33,6.83,1404.9,jute
112.56,53.06,62.51,24.44,59.93,6.52,527.11,watermelon
61.1,41.6,51.46,18.78,71.65,6.92,763.49,grapes
44.4,24.24,15.21,33.12,89.07,6.21,1244.7,jute
61.52,36.95,44.36,19.63,53.63,6.67,492.4,wheat
158.84,59.67,72.81,28.27,83.44,7.48,1115.22,sugarcane
96.35,41.49,62.7,30.25,69.45,6.5,600.75,watermelon
85.93,42.59,20.9,18.13,76.17,6.12,789.78,maize
104.01,54.47,53.48,27.78,67.1,6.28,1091.44,mango
77.89,34.5,33.51,26.97,82.34,7.02,1312.13,jute
84.65,42.53,52.3,26.11,38.14,7.31,646.35,pomegranate
100.77,43.54,49.13,17.95,75.79,6.82,1744.86,coffee
125.65,68.52,62.59,23.19,62.17,5.99,1122.95,papaya
63.79,54.32,58.95,15.77,78.92,6.35,772.29,grapes
21.85,25.93,26.67,34.19,55.27,7.95,184.17,mothbeans
35.67,23.78,31.8,27.0,71.53,6.96,458.53,blackgram
110.42,42.97,46.02,28.26,66.52,7.21,966.97,mango
99.64,58.87,57.06,17.13,61.38,6.9,715.78,orange
65.05,48.84,31.33,23.14,66.09,6.11,1552.46,coffee
19.76,24.83,17.07,18.04,61.97,6.83,428.95,lentil
103.35,42.2,46.98,23.62,57.41,6.42,1067.89,cotton
95.96,52.63,51.37,33.88,51.11,6.65,491.13,watermelon
44.62,28.46,38.74,16.18,63.41,6.25,589.85,kidneybeans
101.76,51.88,39.75,25.29,90.74,6.27,1626.39,rice
101.27,43.08,59.4,31.97,76.2,6.38,1056.55,coconut
56.44,39.31,31.27,20.1,62.78,6.67,569.23,kidneybeans
38.58,18.05,30.09,25.42,67.33,6.14,352.33,blackgram
93.01,35.04,24.19,26.17,79.35,5.81,1010.88,maize
67.27,33.91,47.87,16.83,58.91,7.42,534.12,wheat
132.45,67.24,58.81,27.39,82.58,6.15,1238.19,sugarcane
131.76,68.25,55.38,30.0,77.63,6.12,973.71,papaya
51.65,42.85,32.45,24.53,52.52,6.6,454.93,wheat
104.12,44.03,30.64,19.54,61.72,6.7,791.65,maize
30.82,25.83,20.38,16.11,66.45,6.93,311.42,lentil
20.72,28.43,28.76,33.75,65.29,7.13,313.35,mungbean
67.1,34.54,33.93,17.57,66.33,6.59,1688.84,coffee
110.09,57.67,53.28,30.18,64.0,6.76,530.28,muskmelon
90.44,53.53,41.75,27.17,77.43,6.25,1032.77,mango
113.91,48.0,49.09,27.51,68.74,7.06,1010.77,mango
27.02,20.04,16.68,32.95,64.7,6.79,352.07,mungbean
68.13,32.18,20.84,24.35,75.9,6.67,1612.08,jute
69.43,48.08,29.25,24.11,60.9,6.51,837.04,maize
30.58,29.16,18.56,27.49,78.05,6.87,262.69,mungbean
91.62,39.84,42.29,23.8,68.5,6.92,1337.5,apple
128.79,43.2,46.2,24.56,74.03,6.4,723.25,cotton
113.72,51.04,55.09,28.92,67.44,6.84,749.49,pomegranate
26.47,30.61,17.44,30.66,55.8,6.77,236.77,mothbeans
99.58,53.93,57.84,24.14,62.74,6.39,478.21,muskmelon
27.84,25.12,33.07,24.35,71.06,6.04,359.09,pigeonpeas
135.64,67.5,66.89,22.68,84.37,7.02,1416.14,sugarcane
25.0,33.64,18.94,28.25,71.76,7.03,261.68,mungbean
97.57,58.26,70.53,27.27,81.22,6.61,1952.82,coconut
109.95,49.54,46.32,28.15,76.83,5.77,1160.14,mango
35.97,25.41,33.68,32.05,71.65,6.12,494.87,blackgram
117.14,55.25,96.31,27.31,74.67,6.04,1733.63,banana
28.26,24.55,15.91,25.23,69.55,6.6,241.07,mungbean
106.86,39.94,24.35,24.76,68.14,6.72,647.53,maize
19.78,18.49,28.41,25.76,75.96,7.17,393.2,pigeonpeas
156.29,79.1,67.66,24.39,81.82,6.38,1246.06,sugarcane
104.24,55.97,55.85,19.16,44.16,7.49,498.35,pomegranate
58.37,41.48,40.93,17.8,67.41,7.21,572.94,wheat
84.05,37.1,32.96,20.93,76.35,6.37,1326.4,coffee
89.13,43.36,54.86,30.49,50.91,6.86,534.68,watermelon
132.15,61.33,79.49,28.93,81.06,7.12,1324.75,sugarcane
104.31,47.34,51.61,23.87,41.4,6.93,600.32,pomegranate
116.17,53.55,40.95,29.92,70.53,7.24,1062.35,mango
89.1,45.54,42.36,28.6,64.43,5.81,1060.08,mango
111.01,67.43,56.57,30.3,55.82,6.8,412.91,watermelon
100.73,39.65,39.96,20.55,81.0,5.67,1768.73,rice
47.57,42.97,40.41,19.92,67.95,6.44,561.29,kidneybeans
21.97,38.42,15.69,24.95,50.47,7.33,381.88,lentil
24.16,33.2,25.25,26.57,65.67,7.15,395.74,chickpea
132.56,67.05,66.97,29.21,81.22,7.04,1336.51,banana
104.05,48.45,31.95,21.14,66.92,6.66,999.14,maize
35.75,37.76,21.51,24.57,52.07,6.07,451.41,lentil
71.46,31.51,24.09,27.64,84.99,6.33,1670.56,jute
80.86,53.85,58.47,30.72,63.44,6.13,1050.22,mango
87.99,50.24,45.76,26.13,79.74,5.79,1129.82,mango
57.67,30.08,32.28,34.75,80.9,7.25,1353.73,jute
107.85,59.89,44.38,18.34,56.9,7.18,763.17,orange
135.69,49.02,54.72,29.05,62.87,7.77,790.91,cotton
73.43,30.83,48.44,23.37,71.35,6.39,1858.3,coffee
74.97,46.72,58.25,16.05,69.6,6.35,672.54,grapes
49.8,31.0,19.85,22.33,75.26,6.69,514.76,kidneybeans
100.35,36.09,21.43,22.32,78.17,6.46,777.04,maize
89.15,44.18,56.43,18.55,65.02,6.64,766.67,grapes
90.49,41.17,39.29,21.92,85.18,5.7,1727.88,rice
76.4,36.13,36.75,20.3,68.52,6.88,1609.3,coffee
75.64,45.22,37.3,21.45,63.79,6.13,1983.19,coffee
72.48,40.3,32.73,31.95,75.18,6.39,1989.97,jute
18.4,18.49,15.79,29.71,51.89,7.15,308.61,mothbeans
51.74,27.9,36.22,17.31,78.81,6.28,527.79,kidneybeans
29.44,33.12,21.49,24.87,79.87,6.29,391.07,pigeonpeas
58.67,32.94,31.95,21.41,64.88,6.05,619.64,wheat
19.79,21.5,23.55,21.15,73.94,6.55,367.12,chickpea
108.6,54.54,79.06,22.82,80.24,6.79,877.84,papaya
80.35,47.03,55.27,28.71,62.85,6.28,430.16,watermelon
122.5,56.1,57.61,30.44,69.39,6.02,902.09,mango
58.74,36.88,25.16,29.18,86.97,6.55,1820.25,jute
35.77,25.16,15.05,15.88,58.03,7.41,368.84,lentil
64.44,48.25,33.45,17.62,67.68,6.36,1443.55,apple
112.7,48.31,78.5,24.44,64.9,6.95,524.44,watermelon
73.68,32.69,42.3,17.62,71.73,6.61,1221.73,apple
94.3,51.58,46.49,25.6,71.87,5.68,845.13,mango
117.46,54.49,46.69,26.66,54.89,6.19,814.35,orange
25.45,19.07,16.65,33.66,59.4,7.32,338.39,mothbeans
106.14,56.64,47.09,16.06,57.95,7.46,946.07,orange
34.85,35.92,22.1,28.1,73.53,7.06,361.17,pigeonpeas
104.81,54.09,41.74,20.75,87.72,5.98,1598.87,rice
92.92,34.46,38.6,20.63,73.29,6.76,1195.19,apple
31.48,36.52,30.44,20.56,65.24,6.93,352.37,lentil
123.38,71.2,71.22,24.0,68.86,6.13,827.83,papaya
49.09,36.71,35.47,23.5,75.85,6.33,577.67,kidneybeans
125.69,66.96,69.74,31.86,77.86,6.64,1649.89,banana
54.15,40.44,23.12,19.27,69.39,6.33,485.64,kidneybeans
37.42,27.06,25.52,28.89,70.93,6.23,376.05,mungbean
35.04,15.02,18.1,30.38,61.42,7.53,195.83,mothbeans
125.65,60.93,47.64,23.82,56.0,5.86,761.82,cotton
126.41,55.11,48.41,30.13,76.48,7.2,964.18,cotton
81.0,22.87,33.48,31.26,80.79,6.05,1476.35,jute
130.77,50.25,47.68,28.39,63.88,6.56,905.39,cotton
91.58,37.03,19.65,26.1,63.68,6.43,773.07,maize
35.49,35.76,31.13,18.52,59.12,6.86,487.38,lentil
78.11,30.53,40.18,18.26,69.59,6.59,1406.35,apple
94.21,63.5,50.36,25.66,54.4,6.38,545.17,watermelon
33.85,38.48,25.18,29.91,66.63,6.21,360.28,chickpea
103.31,57.62,55.07,28.77,66.77,6.61,819.03,mango
28.04,12.43,13.73,31.03,63.34,6.72,217.9,mothbeans
95.15,45.99,47.14,15.3,73.06,6.12,1505.34,coffee
86.21,53.11,43.75,22.77,70.18,6.28,703.71,grapes
134.01,66.77,85.28,30.79,76.59,7.23,1745.99,banana
83.4,45.91,50.36,16.68,70.04,6.11,578.48,grapes
77.08,36.34,47.8,15.37,78.68,6.9,1164.63,apple
108.26,56.06,40.53,25.28,85.88,6.28,1701.09,rice
105.14,58.88,70.98,30.94,60.48,6.98,572.53,watermelon
57.63,34.73,18.52,30.26,74.28,6.38,1215.04,jute
143.44,63.02,68.21,25.49,82.43,6.39,1209.13,sugarcane
89.95,48.18,44.49,27.8,77.92,6.96,1085.22,mango
136.32,58.2,51.42,21.91,63.39,6.84,1143.49,cotton
117.46,49.48,43.92,17.27,36.07,7.24,535.61,pomegranate
66.94,31.42,38.58,23.18,66.88,6.41,1757.3,coffee
73.34,50.08,53.86,22.03,69.53,6.94,647.12,grapes
88.15,51.62,43.54,28.16,72.01,6.11,769.84,mango
109.71,57.48,52.15,25.01,62.09,6.29,400.17,watermelon
137.66,49.4,47.34,21.24,53.92,6.94,737.65,cotton
132.42,75.92,65.0,30.09,63.82,5.98,791.7,papaya
106.39,57.15,55.83,24.19,70.65,6.27,967.23,mango
47.81,31.75,28.23,31.86,85.01,7.3,1526.97,jute
30.02,26.84,23.51,30.7,67.24,7.9,214.18,mothbeans
97.89,55.31,54.86,28.12,53.36,6.57,696.16,pomegranate
87.74,43.6,31.98,26.92,64.85,5.95,633.45,maize
13.88,18.51,26.68,30.05,68.77,7.45,357.65,mothbeans
62.32,28.16,43.88,21.24,68.36,6.51,1554.97,coffee
84.73,52.17,57.72,22.15,79.87,7.04,590.53,orange
86.92,48.52,43.44,26.32,51.3,6.83,626.75,pomegranate
38.02,34.2,20.05,26.69,67.4,7.51,387.54,pigeonpeas
73.42,44.88,49.21,24.27,79.78,6.21,670.67,grapes
82.0,43.66,34.78,22.15,84.46,5.94,1946.3,rice
100.92,68.82,54.37,23.56,75.56,6.41,1099.41,cotton
136.5,53.24,42.12,21.13,66.75,6.96,1014.38,cotton
157.24,56.1,72.33,26.3,78.5,6.21,1456.47,sugarcane
77.62,38.09,46.04,19.82,57.5,6.69,502.93,wheat
33.62,24.74,22.59,33.26,76.21,6.34,316.26,blackgram
81.11,39.82,43.13,15.76,65.5,6.32,624.75,wheat
81.81,57.06,44.38,29.86,76.49,7.24,1205.01,mango
122.71,60.98,77.33,30.75,78.58,7.42,1338.26,banana
119.07,62.74,74.94,24.94,60.13,6.62,568.76,muskmelon
83.63,46.64,59.08,19.45,43.99,6.81,671.57,pomegranate
71.72,47.69,48.18,19.56,52.06,7.47,626.25,wheat
89.61,54.75,64.84,31.33,54.88,6.92,441.5,muskmelon
94.45,54.11,51.17,27.67,71.61,6.22,1220.14,mango
52.22,43.1,35.29,18.07,71.81,6.91,454.95,kidneybeans
117.66,47.55,74.91,33.58,65.83,6.18,559.93,muskmelon
127.59,76.89,78.59,28.64,64.35,6.13,1130.89,papaya
114.29,58.7,58.83,30.71,60.72,6.29,1150.63,mango
94.59,54.23,44.67,26.17,63.2,6.25,1112.53,mango
51.35,32.9,26.8,27.72,73.04,6.15,1834.01,jute
104.75,80.17,69.64,25.22,75.25,6.11,1125.97,papaya
26.53,31.99,30.17,20.76,78.98,7.78,414.65,chickpea
85.39,68.59,56.71,34.23,58.7,7.0,536.63,muskmelon
51.35,25.63,24.96,15.92,61.67,6.27,496.9,kidneybeans
45.77,26.59,23.08,31.3,84.03,6.16,1399.52,jute
106.42,40.4,42.91,24.34,81.08,6.8,1947.71,rice
28.32,32.37,21.49,23.0,79.34,7.4,333.66,pigeonpeas
20.63,33.27,25.38,24.6,77.75,6.5,331.53,chickpea
107.52,47.19,55.98,28.95,63.18,6.9,711.45,pomegranate
58.17,39.8,36.96,24.11,63.59,6.45,409.98,kidneybeans
30.99,32.15,32.36,27.56,71.18,6.24,394.71,mungbean
22.68,19.17,28.35,32.92,64.44,7.34,325.69,mothbeans
78.37,35.29,34.37,27.16,89.97,6.67,1351.27,jute
127.53,71.24,71.06,28.09,82.98,7.15,1440.78,banana
26.22,29.18,30.84,24.38,69.38,6.06,372.96,pigeonpeas
145.57,68.91,59.05,22.73,81.44,6.9,1058.03,sugarcane
57.86,24.63,20.87,17.87,64.85,6.23,436.08,kidneybeans
28.46,30.65,15.25,29.74,63.59,7.1,454.63,chickpea
109.96,53.44,42.45,27.79,75.84,6.44,1041.44,mango
119.3,48.29,47.0,23.31,58.6,6.14,604.23,orange
83.03,58.82,43.78,24.79,85.29,5.95,1929.89,rice
118.03,47.25,39.42,25.43,89.3,6.93,1890.04,rice
133.99,73.66,62.58,29.65,75.19,6.47,890.13,papaya
93.97,41.66,46.98,26.91,40.5,7.12,767.24,pomegranate
23.61,19.91,34.18,31.01,68.96,6.18,414.52,blackgram
81.93,60.57,72.57,26.89,64.14,6.42,569.25,watermelon
34.32,29.47,14.76,18.67,62.08,6.17,443.17,lentil
53.84,35.03,35.68,24.46,88.23,6.91,1968.21,jute
89.24,50.37,49.29,28.17,73.37,6.27,911.44,mango
63.51,39.94,57.14,20.26,69.82,6.27,550.74,grapes
34.43,28.27,24.25,25.55,61.32,6.56,422.46,blackgram
104.87,59.74,63.9,25.71,80.87,5.93,1154.68,coconut
71.37,41.29,34.2,19.59,73.4,6.95,656.5,maize
107.67,41.09,49.2,15.11,67.18,7.4,1221.32,orange
49.86,41.09,21.86,23.51,68.76,6.26,510.1,kidneybeans
71.19,28.52,21.43,34.66,75.44,7.27,1496.81,jute
129.5,48.23,43.63,27.8,69.33,5.88,828.2,cotton
52.14,34.39,22.59,28.47,88.54,7.34,1946.58,jute
25.93,31.72,27.51,30.26,64.45,7.05,353.53,chickpea
103.1,54.69,50.52,29.12,77.86,6.17,1129.14,papaya
73.16,32.65,48.81,19.42,54.03,6.09,475.75,wheat
69.41,33.87,15.59,34.11,73.41,6.98,1224.49,jute
123.74,62.26,69.91,28.15,51.19,6.04,571.12,muskmelon
49.82,24.94,29.48,31.29,82.17,5.98,1729.52,jute
50.44,22.5,23.85,34.17,71.48,6.42,1186.97,jute
101.9,50.3,47.54,27.54,68.99,7.2,783.63,cotton
25.77,14.98,20.5,27.24,68.22,7.15,412.03,mungbean
19.22,28.9,28.3,27.54,66.66,7.09,257.93,mothbeans
72.72,43.97,44.48,17.62,68.53,6.19,1121.16,apple
99.71,52.69,38.62,22.03,82.98,6.48,1859.83,rice
89.74,57.45,53.42,23.8,69.61,6.07,940.37,orange
78.55,43.11,31.01,21.33,75.94,6.48,1193.33,apple
97.7,45.46,31.37,25.82,70.94,5.86,957.2,maize
24.85,31.81,32.01,25.85,69.93,6.26,392.4,blackgram
92.2,58.38,83.1,30.32,81.29,6.01,1445.71,coconut
72.53,38.27,50.63,19.33,70.02,6.45,799.96,grapes
72.68,31.36,48.58,19.99,59.25,6.93,608.49,wheat
95.04,57.66,70.92,27.63,52.99,6.08,534.31,muskmelon
24.84,32.99,21.29,24.5,63.51,7.43,318.08,lentil
34.74,28.53,31.0,21.72,65.33,6.27,313.82,chickpea
85.17,48.27,21.77,18.61,74.01,5.87,645.52,maize
44.94,27.57,32.86,25.75,70.91,6.71,1306.41,jute
34.78,25.41,19.31,17.46,58.69,6.65,343.1,lentil
21.56,21.83,14.34,33.31,51.9,7.74,255.0,mothbeans
43.65,26.04,29.56,26.14,68.19,6.59,324.78,chickpea
81.49,49.94,65.34,26.71,83.39,5.71,1967.08,coconut
126.12,59.66,63.66,31.74,83.22,6.21,1861.1,banana
119.53,45.52,41.04,21.78,83.11,5.58,1801.44,rice
91.65,62.39,70.01,31.85,63.73,6.28,411.23,watermelon
116.17,45.52,46.18,23.0,79.18,6.07,810.75,orange
129.28,62.47,45.73,26.74,60.98,7.33,771.98,cotton
67.14,27.16,18.24,24.99,80.96,7.32,1362.06,jute
100.8,50.54,41.74,21.15,44.37,7.52,570.04,pomegranate
94.77,40.21,73.6,24.52,68.53,6.88,507.78,muskmelon
116.62,49.23,39.35,24.28,82.05,5.65,1572.44,rice
21.86,15.72,31.68,28.56,67.15,7.35,413.62,pigeonpeas
71.25,36.46,33.29,23.92,67.83,6.26,1242.47,apple
35.92,23.36,31.43,15.63,50.05,7.33,396.58,lentil
32.41,19.23,27.32,22.12,66.02,6.65,393.01,pigeonpeas
74.62,42.6,36.32,19.8,70.29,6.66,848.22,maize
35.68,25.7,15.55,22.29,64.25,6.37,432.83,pigeonpeas
57.48,23.63,32.6,20.26,63.19,6.84,473.76,kidneybeans
107.23,60.84,72.53,29.55,83.93,7.46,1704.47,banana
39.27,17.17,20.12,22.15,64.92,6.58,457.67,pigeonpeas
83.31,53.63,44.78,15.94,56.67,7.18,1138.05,orange
86.1,40.08,63.03,31.13,71.66,5.58,1448.52,coconut
143.22,66.22,73.98,29.43,74.7,6.97,1002.89,sugarcane
71.07,47.23,59.04,21.42,62.25,6.49,720.3,grapes
35.66,24.17,17.31,24.46,68.75,6.8,343.83,pigeonpeas
31.77,21.82,15.03,23.43,65.39,6.56,373.57,pigeonpeas
154.62,72.67,62.69,26.61,76.24,7.01,1074.42,sugarcane
83.38,54.28,39.65,25.53,84.83,6.78,1758.87,rice
25.91,20.24,19.32,26.96,50.04,6.65,201.05,mothbeans
90.01,44.72,45.19,22.8,88.87,6.42,1895.66,rice
74.96,47.58,30.13,24.01,70.02,6.43,1267.47,apple
105.64,41.36,65.42,25.43,73.72,5.66,1260.04,coconut
20.97,21.91,28.19,24.4,67.31,6.15,388.23,pigeonpeas
119.31,65.9,43.3,26.99,68.43,6.45,676.55,cotton
96.15,44.24,39.53,19.52,74.92,6.26,759.26,maize
129.84,76.52,84.18,27.21,77.41,6.74,1985.0,banana
84.26,54.87,94.86,26.3,76.66,5.72,1724.47,coconut
15.68,22.45,25.77,30.37,61.11,7.74,340.81,mothbeans
97.15,33.25,46.17,20.74,61.89,6.98,1412.27,coffee
20.98,12.28,15.42,28.9,60.13,7.73,273.35,mothbeans
34.8,19.49,17.06,28.07,65.08,6.47,257.13,mungbean
137.61,42.49,56.21,23.04,75.73,7.6,947.42,cotton
94.62,55.38,22.16,26.7,67.92,6.82,893.33,maize
123.17,56.57,70.57,30.62,62.79,6.87,1056.92,papaya
46.81,40.94,27.2,18.8,78.14,6.83,514.72,kidneybeans
36.71,37.73,26.68,25.66,59.48,6.52,313.35,chickpea
25.86,38.32,34.95,23.6,56.38,6.41,384.32,lentil
86.12,57.74,78.34,33.06,68.98,6.97,420.9,muskmelon
29.61,29.17,28.52,28.17,69.09,6.76,441.86,pigeonpeas
97.34,43.14,98.81,30.63,77.91,6.39,1233.83,coconut
27.65,26.83,31.86,26.43,77.54,6.33,277.49,mungbean
37.86,17.61,22.08,32.15,64.43,6.88,277.08,mungbean
109.78,49.72,62.31,30.8,53.53,6.7,451.0,muskmelon
23.74,36.27,33.0,25.43,70.94,7.2,377.73,chickpea
136.89,50.79,57.52,21.76,83.39,6.37,1282.4,sugarcane
77.63,39.44,47.38,15.16,72.2,6.22,567.13,grapes
77.11,36.84,25.51,24.77,74.57,6.75,782.65,maize
87.57,62.52,71.35,24.11,58.33,6.33,525.25,muskmelon
96.48,36.61,32.19,26.39,72.95,6.79,944.11,maize
83.3,41.25,38.51,20.18,64.01,6.81,1246.68,apple
55.63,29.62,19.78,30.19,85.75,7.12,1176.15,jute
125.79,67.85,56.63,23.61,83.97,6.36,1027.53,sugarcane
109.31,58.09,60.32,27.1,52.29,6.53,511.59,muskmelon
24.44,33.6,32.06,29.0,80.56,6.66,383.12,chickpea
57.67,21.28,17.05,26.58,70.32,6.97,1476.27,jute
27.77,29.37,31.4,28.73,74.41,6.41,494.09,blackgram
20.83,19.23,18.34,32.72,65.51,6.25,372.85,mungbean
30.34,22.55,24.08,26.86,72.31,6.88,509.38,chickpea
79.5,46.38,44.04,28.24,73.12,7.25,1097.48,mango
77.3,47.81,39.44,15.77,63.79,6.43,1414.31,coffee
24.24,32.5,30.73,32.77,70.42,6.71,274.59,mungbean
154.35,74.0,75.15,29.46,81.33,6.33,1310.79,sugarcane
75.02,28.94,32.08,20.11,72.84,6.43,1305.18,apple
29.53,27.76,32.6,23.84,75.93,6.91,467.9,pigeonpeas
135.02,75.8,62.37,26.78,79.71,6.93,1420.42,banana
34.03,22.48,26.3,27.33,77.95,7.27,446.03,pigeonpeas
92.76,39.79,58.96,31.18,75.59,5.79,1169.93,mango
129.01,76.89,79.01,28.6,82.9,6.86,1239.27,banana
129.34,61.42,53.36,25.2,83.53,6.66,979.78,papaya
110.76,48.95,35.82,20.85,82.66,6.33,1824.01,rice
30.05,17.37,34.5,28.68,63.93,6.54,445.24,pigeonpeas
37.55,26.18,17.58,23.27,60.71,6.26,408.9,chickpea
97.37,45.0,19.2,22.33,75.76,6.37,630.06,maize
100.48,59.03,56.97,31.05,76.73,5.73,899.06,mango
78.7,28.49,17.07,32.08,76.06,6.78,1649.2,jute
33.17,24.34,27.31,34.7,78.66,6.03,457.31,blackgram
28.15,20.52,20.88,33.73,74.81,6.89,419.26,mungbean
77.32,38.03,54.31,18.99,65.21,6.38,634.91,grapes
34.92,30.43,27.91,24.37,58.83,6.53,525.89,lentil
23.2,26.58,18.04,34.76,65.35,8.01,262.45,mothbeans
86.01,50.49,59.42,26.55,61.81,6.41,400.15,watermelon
130.05,57.54,71.15,29.86,81.33,6.1,1050.2,sugarcane
118.37,75.02,75.37,24.7,73.56,6.25,843.17,papaya
104.4,79.62,60.64,30.5,79.64,6.56,1261.85,banana
125.42,45.61,46.59,29.14,58.86,6.83,1114.38,cotton
35.99,20.94,15.25,31.03,69.75,6.77,357.55,mungbean
72.48,31.82,34.48,33.06,85.29,6.11,985.56,jute
100.55,54.37,41.78,21.48,87.28,5.92,1649.89,rice
91.81,57.01,52.52,25.96,58.13,6.92,469.93,muskmelon
33.9,31.62,31.05,26.84,72.36,6.53,276.35,mungbean
86.15,47.5,76.22,25.24,78.66,6.82,1153.84,coconut
117.94,69.34,98.4,30.82,75.17,6.52,1588.1,banana
47.88,44.57,31.72,18.73,61.07,6.6,422.63,kidneybeans
110.32,53.13,56.66,28.54,66.26,6.27,478.04,muskmelon
102.13,62.16,77.36,27.16,75.67,6.22,1724.12,banana
19.4,40.07,31.31,29.8,71.3,7.4,314.39,chickpea
30.68,15.56,32.47,27.32,60.96,7.22,398.33,pigeonpeas
101.95,63.7,68.15,27.25,80.99,7.35,1497.29,banana
108.76,79.85,66.32,30.25,77.24,6.15,1850.84,banana
82.57,31.79,35.79,23.33,74.4,6.89,1063.02,apple
142.24,54.38,52.48,22.28,64.32,5.83,911.79,cotton
65.79,27.48,30.23,33.18,73.0,7.24,1535.98,jute
107.06,48.61,59.67,24.86,51.43,6.26,415.52,watermelon
47.01,42.38,29.81,21.79,74.69,6.24,596.29,kidneybeans
81.28,49.56,45.06,17.23,70.68,6.97,1874.98,coffee
112.96,48.61,45.0,21.21,61.45,7.37,1050.45,orange
98.81,51.28,46.16,16.09,56.38,7.41,847.12,orange
123.49,46.75,48.53,21.09,64.14,7.0,707.29,cotton
89.61,44.78,38.79,19.96,82.61,5.78,1660.09,rice
25.4,21.08,34.46,30.36,67.23,6.52,454.27,blackgram
33.8,25.6,14.72,32.95,62.23,6.79,280.38,mothbeans
15.08,14.29,24.14,34.0,65.2,7.45,269.91,mothbeans
107.77,78.28,59.92,24.0,71.85,6.34,818.87,papaya
107.09,51.16,25.32,27.05,71.38,6.47,921.34,maize
22.52,21.34,26.89,33.19,60.46,6.96,370.82,blackgram
107.29,53.53,61.86,27.5,84.03,6.12,1535.06,coconut
104.04,53.61,62.49,29.99,63.75,6.15,1099.83,papaya
99.08,59.9,58.34,26.59,56.39,6.96,606.15,pomegranate
59.99,38.76,26.66,26.98,84.36,6.46,1891.26,jute
54.57,29.68,35.78,17.54,67.37,6.96,488.13,kidneybeans
29.56,21.08,25.22,33.52,71.95,6.8,350.3,mungbean
37.24,19.27,29.98,29.1,63.9,7.0,265.6,mungbean
30.55,21.88,20.77,26.34,76.34,7.64,434.42,chickpea
33.74,22.4,31.32,22.7,64.76,6.7,447.24,chickpea
14.73,28.07,14.3,34.09,58.54,6.66,203.98,mothbeans
139.9,56.22,42.15,27.42,73.71,6.45,1120.3,cotton
102.51,41.33,59.05,29.96,68.27,6.85,459.55,watermelon
34.62,38.72,25.72,21.61,75.34,7.75,416.74,chickpea
102.08,41.69,76.45,28.29,67.94,6.75,517.61,watermelon
56.66,27.26,36.15,18.28,68.43,6.05,442.8,kidneybeans
78.91,42.22,44.6,22.01,61.87,6.88,1196.44,apple
134.43,48.33,55.96,23.57,77.68,7.43,1094.8,cotton
25.58,27.31,23.63,31.53,60.84,6.68,265.89,mungbean
129.4,56.14,56.66,21.76,77.46,7.04,1445.48,sugarcane
81.62,32.76,31.09,15.78,71.15,6.56,1431.08,coffee
68.67,38.59,35.81,24.85,58.73,7.33,530.36,wheat
64.6,53.1,54.2,17.14,67.21,6.82,664.47,grapes
109.71,40.17,68.79,28.27,60.05,6.54,431.89,muskmelon
83.71,52.46,44.38,21.03,85.75,6.85,1851.69,rice
62.47,40.02,38.6,19.13,60.97,6.26,458.25,wheat
127.27,76.43,78.07,31.06,61.74,6.54,1056.39,papaya
129.97,42.41,42.78,20.84,69.42,6.79,680.3,cotton
97.51,42.35,74.81,25.98,68.02,6.84,509.89,muskmelon
44.42,41.98,22.87,17.03,67.62,6.85,449.32,kidneybeans
112.63,49.56,39.76,25.55,87.41,6.54,1886.48,rice
134.88,57.73,56.94,29.8,80.8,6.84,1201.35,sugarcane
